"name","address","category"
"Nailogy","2/6 Phaholyothin7, soi.ari1, Samsennai,Phayathai, Bangkok 10400","nails"
"Lebs Nail Salon","Rainhill, sukhumvit47 Bangkok, Thailand 10110","nails"
"Glory Nails and Spa","Ladprao Hills, Lat Phrao 4 Alley, Chom Phon, Chatuchak, Bangkok 10900","nails"
"Nail Girls Sathorn","72/1 The Embassy Sathorn Hotel , Sathorn South, Tungmahamek, Sathorn Bangkok 10120","nails"
"About Color Nails & Spa","The Shelter,  Chok Chai 4 Rd, Saphansong, Wang Thonglang, Bangkok 10310","nails"
"BONITO Nails & Lashes","66 Rama 9 Road , Soi 41 (next to The Nine) Suan Luang Bangkok 10250","nails"
"Rainbow Nails Bangna","58/1 Bizzo Bangna,  Bang Na, Bangkok 10260","nails"
"PIJI Nail Bar","23 Saladaeng Rd, Khwaeng Silom, Bang Rak, Bangkok 10500","nails"
"Pink Area Beauty and Café","57 Lat Phrao 71 Alley, Nak Niwat Rd, Lat Phrao , Lat Phrao district Bangkok 10230","nails"
"New York Nails by Napass","111/11 Phahonyothin Rd. Samsennai, Phaya Thai, Bangkok 10400","nails"
"Hello Tokyo Siam 6","Siam square soi 6 412/15 floor 3 Rama 1 Pratunam, Bangkok, Thailand 10330","nails"
"iiNStyle Nail","1st Floor, Montien Hotel, Surawong Rd, Si Phraya, Bang Rak, Bangkok 10500","nails"
"Nailvana Nail & Spa","2th Floor Lido Connect, Rama 1 Rd, Pathum Wan, Pathum Wan District, Bangkok 10330","nails"
"Jittrawan Wellness Spa","19/19 Moo.1 Srinakarin Rd. Bangkaew,Bangplee, Samut Prakan 10540","nails"
"The Hills","5/5 Sukhumvit 49, Klongtan Neur, Wattana, Bangkok 10110","nails"
"Sugarholic (Chatuchak Branch)","8 Kamphaeng Phet 3 Rd, Chatuchak, Chatuchak, Bangkok 10900","nails"
"Chic Your Nails","491/34 Silom Plaza,  2nd Floor , Silom Road, Silom Sub District, Bangrak , Bangkok 10500","nails"
"Sleep Salon & Nails (Ari)","490/13 Paholyothin Rd., Samsen Nai, Phaya Thai 10400","nails"
"Massira Wellness & Spa","3rd Floor., Ramada Plaza Menam Riverside Hotel 2074 Charoenkrung Road, Wat Prayakrai, Bangkorlaem, Bangkok 10120 Thailand","nails"
"NAILAND Salon & Spa","77/33 Pracharat 26, Suan Yai, Nonthaburi 11000","nails"
"Nail and Co. Studio","728 Room B201, 2nd Floor, The Jas, Wang Hin Branch, Lad Prao Wanghin Rd, Lat Phrao, Bangkok 10230","nails"
"Polish Nail Boutique","3rd Floor, CRC Tower, All Seasons Place, 87/2 Wireless Road Bangkok, Thailand 10330","nails"
"Forever18Lounge","76/7-8 Nanglinchi Rd., Sathorn Bangkok, Thailand 10120","nails"
"31 Nail Salon & Spa","25/2 Soi Sukhumvit 31, Sukhumvit Rd., Khlong Toei Nuea, Watthana 10110","nails"
"Green Leaf Spa by Cascadeclub","Cascade Club Level6, The Ascott Bangkok Sathorn 7 South Sathorn Road, Yannawa, Sathorn Bangkok 10120","nails"
"Palette Nail Boutique","1-1/1 Soi Sukhumvit 24 Sukhumvit Klongton, กรุงเทพมหานคร 10110","nails"
"Blush Nails & Beauty","3/115 Soi Sukhumvit105, Lasalle Rd,  Bang Na, Bangna, Bangkok 10260","nails"
"Ai Lash","20/2  Si Phraya Rd, Mahaphruettharam, Bang Rak, Bangkok 10500","nails"
"The Nail Bakery (Phayathai)","คอนโดปทุมวันรีสอร์ต 69/23 payathai road 10400 Bangkok, Thailand","nails"
"Shining De Nail","Ideo Mobi Condo (Tower B) Soi Sukhumvit 81 (Onnut BTS Exit 3), Sukhumvit Rd, Phra Khanong, Bangkok 10260","nails"
"Siristyle","Paradise park (Room s14 zone 02 1st floor)  61 Srinakarin Rd,  Nong Bon, Prawet, Bangkok 10250","nails"
"Nails Bangkok by Bangkok Nails Fashion (Ramkhamhaeng Branch)","2/29 Soi Ramkhamhaeng 118, Khwaeng Saphan Sung,  Khet SaphanSung, Bangkok 10240","nails"
"Nail & Co.","Aree Garden, 62 Rama VI Soi 30, Khwaeng Phaya Thai, Khet Phaya Thai, Bangkok 10400","nails"
"Mrs. Nail","1588/1 Chan road, Thung wat don, Sathorn, Bangkok 10120","nails"
"A Little Nail Room","B Floor, Chamchuri Square, Phayathai Rd, Pathum Wan District, Bangkok 10330","nails"
"Beauty Story (Mega Bangna)","Mega Bangna floor 1 Bang Kaeo, Bang Phli District, Samut Prakan 10540","nails"
"N+ Nail & Eyelash Salon","G Tower Rama 9, G Floor, MRT Rama 9 Station Exit 3,  1 Ratchadaphisek Road, Din Daeng, Bangkok 10400","nails"
"The Nail Bakery (Udomsuk)","Oneudomsuk Complex center, 38 Udomsuk soi 1 building D-3rd floor  Bangna, 10260","nails"
"Glass Nails Spa","216 Thong Lor 13 (Near Seenspace), Sukhumvit 35, Klongtan, Watthana, Bangkok 10110","nails"
"Meganails Spa (Central Plaza Grand Rama 9 Branch)","B1 Floor, CentralPlaza Grand Rama 9, 9/9 Rama 9 Soi 4, Khwaeng Huai Khwang, Khet Huai Khwang, Bangkok 10310","nails"
"Tara Boutique Massage","4th FLOOR Central RamaIII 79 Satupradit road, yannawa, chongnonsri, Bangkok 10120","nails"
"Queen De Nail Bangkok Salon & Spa","35 soi aree paholyothin 7 Road samsennai phayathai Bangkok","nails"
"MaMa Nail and Wax Boutique By Kewpaisals","Qiss Mall Soi Rong Phayaban 1 (Rubia) Rama 4 RD. Bangkok, 10110","nails"
"Vintage Nail Spa","Mbox 14/9 soi charoenrach 8 tungwatdorn sathorn Bangkok 10120","nails"
"Y&D Unisex Salon","1254 Sukhumvit 22 Sethi Taweesap Road Klong Toey, Bangkok 10110","nails"
"Sala Nuad Bangkok & Nail Bar","57 Soi Naradhiwas 3 (BTS Chong Non-sri) Silom Bangrak Bangkok 10500","nails"
"I.SAWAN RESIDENTIAL SPA & CLUB at Grand Hyatt Erawan Bangkok","5th floor Grand Hyatt Erawan Bangkok, 494 Rajdamri Rd., Bangkok, Thailand","nails"
"Hair Class Salon","125 Assumption Road, Soi 11, Bang Phai Subdistrict, Bang Khae District, Bangkok 10160","nails"
"Lalynthip Massage & Salon","Sukhumvit 22, Khlong Toei, Bangkok 10110, Thailand","nails"
"Beauty addict","10, GM Height Building, Sukhumvit RD, Sukhumvit Soi 22, Khlong Toei, Bangkok, Thailand, 10110","nails"
"Meganails Spa (The Promenade Branch)","3rd Floor, The Promenade, 589/7-9, Soi 2/3, Ramintra Road, Khan Na Yao, Bangkok 10230","nails"
"Nail Honglada","Bangrak  bazaar Rak 1522 Charoen Krung Rd, Bang Rak, Bangkok 10500","nails"
"Deluxe nails & spa","2 sukhaphiban5 road soi40 saimai Bangkok 10220","nails"
