"name","address","category"
"Marukkan Spa And Beauty","1038 2 Phatthanakan Rd, Prawet, Bangkok 10250","spa_and_massage"
"Nature Thai Massage (Sukhumvit 24)","16 Sukhumvit 24 Alley, Khlong Tan, Khlong Toei, Bangkok 10110","spa_and_massage"
"Diora Langsuan - Luxury Spa","36 Soi Langsuan, Lumpini, Pathumwan, Bangkok 10330","spa_and_massage"
"Kashikiri Onsen and Spa 101/1 (BTS Udom Suk)","Wachiratham Sathit 32, Bangkok, Thailand, 10260","spa_and_massage"
"Hiran Organic Massage","722/1 Phuttamonthon Sai2 Road, Bangpai , Bangkae Bangkok 10160","spa_and_massage"
"Laks Thai Massage","204/9-12 Sukhumvit Rd, Soi77 ,  Phra Khanong Nuea, Watthana, Bangkok 10110","spa_and_massage"
"Stretch me by Let's Relax (101 The Third Place Branch)","2nd Floor at 101 The Third Place, 101 Sukhumvit Rd, Khwaeng Bang Chak, Khet Phra Khanong, Bangkok 10260","spa_and_massage"
"Blue Ozone Bangkok Spa (Sand Bath)","53 Ramkhamhaeng 118 Alley, Saphan sung, Bangkok 10240","spa_and_massage"
"Sense, A Rosewood Spa","6th Floor, Rosewood Bangkok 1041/38 Ploenchit Road, Lumpini, Pathumwan Bangkok, 10330, Thailand","spa_and_massage"
"Oasis Spa Baan Saen Doi","199/135 Moo 3 Chonpratan Road, Mae Hia, Muang, Chiang Mai","spa_and_massage"
"Oasis Tropical Retreat Spa","29 Moo.4 Srisoonthorn Road, Choeng Thale, Thalang, Phuket 83110","spa_and_massage"
"JKs Stylish Hair Salon & Nail Spa","8/1 Sukhumvit 33 wattana bangkok 10110","spa_and_massage"
"Stretch Me by Let's Relax (Ginza Thonglor Branch)","Nikko Hotel Bangkok  No.27, Room No.201 , 2nd Floor, Soi Sukhumvit 55 (Thonglor) , Klongtan Nua Subdistrict, Wattana District, Bangkok 10110","spa_and_massage"
"Green Leaf Spa at Chatrium Sathorn Hotel","Chatrium Sathorn Hotel, Floor 3A, 291 Chatrium Residence, Narathiwat Ratchanakarin 24 Alley, Chong Nonsi, Yannawa, Bangkok 10120","spa_and_massage"
"Spa Botanica at the Sukhothai Hotel Bangkok","13/3 South Sathorn Road, Bangkok 10120 Thailand","spa_and_massage"
"Diora Luxe Lumpini - Luxury Spa","5th Floor, Krit Building, 1032, 1-5 Rama IV Rd, Thungmahamek, Sathon, Bangkok 10120","spa_and_massage"
"Cherry Blossom Spa","Legacy Suites, Sukhumvit 29 (BTS Asoke / MRT Sukhumvit)","spa_and_massage"
