"name","address","category"
"Lalynthip Massage & Salon","Sukhumvit 22, Khlong Toei, Bangkok 10110, Thailand","barbershop"
"Estheva Salon","89/5 Soi Lat Phrao 71, Saphansong, Wang Thonglang, Bangkok 10310","barbershop"
"Glam Room by Gam","MRT Phra Ram 9,Unilever House 161, RAMA 9 Road, Huai Khwang District, Bangkok 10310","barbershop"
"Violetta-Onzen Hair Salon","Green Plaza, Lat Phrao Wang Hin 77 Alley, Khwaeng Lat Phrao, Khet Lat Phrao, Bangkok 10230","barbershop"
"Ken Cutto","147/3 Sukhumvit 39, 10110 Bangkok, Thailand","barbershop"
"Another Hair Cafe","52 Sena Nikhom 1 Road, Ladprao Bangkok 10230","barbershop"
"National Hair Institute (Fashion Island Branch)","Fashion Island, 1st Floor, 587,589, 589/7-9 Ram Inthra Road, Khet Khan Na Yao, Krung Thep Maha Nakhon 10230","barbershop"
"Hair Day Salon Bangkok","210-212 Phetchaburi Rd, Khwaeng Thanon Phetchaburi, Khet Ratchathewi, Bangkok 10400","barbershop"
"Zik Zleep Zalon","Soi Phahon Yothin 5 (Soi Ratchakru) 10400 Bangkok, Thailand","barbershop"
"London Salon","484 Chokchai 4 Soi 44 Ladprao Bangkok 10230","barbershop"
"Beauty More Hair&Nail Salon","444 MBK CENTER 1st Floor, (Near BurgerKing) , Payathai Road, Wang Mai, Pathum Wan District, Bangkok 10330","barbershop"
"Madris Hair Salon (Thonglor)","The Taste 2nd floor, 235 Sukhumvit Rd, Khlong Toei Nuea, Khet Watthana, Bangkok 10110","barbershop"
"Beauty Maker Studio at Silom","425 Trinity Complex, Soi Naradhiwas Rajanagarindra 3, Silom, Bang Rak, Bangkok 10500","barbershop"
"Vdesign Clinic","G Floor, Tower B, Vibhavadi Hospital  51/3 Ngamwongwan road (7.94 mi) Bangkok 10900","barbershop"
"Wink Hair Salon","398 Marché Ram53 Community, Ramkhamhaeng 53, Phlabphla, Wang Thonglang, Bangkok 10250","barbershop"
"WONGS","153 Goldenplace Plaza, Soi Mahadleklung 1, Ratchadumri, Lumpini 10330","barbershop"
"Head2Toe (Chatrium Hotel)","26 Chatrium Riverside, Soi 70 Charoen Krung Road, Bangkholaem, Bangkok, 10120","barbershop"
"Ahgaze Hair Design","44/3 Suttisarnvinitchai Road, Samsennok, Huai Khwang, Bangkok 10320","barbershop"
"Starlab Hair&Co","Park Lane Ekkamai Avenue 18 Sukhumvit 61 Alley, Khlongton Nuea, Wattana, Bangkok, Thailand","barbershop"
"Craftsman Voyage Barber Shop","The EmQuartier (2nd Floor), Building B Sukhumvit 35 Bangkok, Thailand 10110","barbershop"
